,acousticness,danceability,energy,instrumentalness,music_genre
252,0.2289999999999999,0.535,0.307,0.8420000000000001,1
260,0.99,0.162,0.046,0.442,1
261,0.00366,0.417,0.8909999999999999,4.84e-05,1
267,0.992,0.3879999999999999,0.0175,0.000453,1
273,0.973,0.107,0.126,0.9,1
277,0.152,0.541,0.975,3.41e-05,1
279,0.982,0.2289999999999999,0.186,0.92,1
284,0.969,0.423,0.2289999999999999,0.893,1
285,0.0135,0.452,0.989,0.0006309999999999,1
290,0.99,0.3929999999999999,0.1119999999999999,0.924,1
294,0.483,0.354,0.871,0.905,1
295,0.949,0.276,0.0518,0.805,1
300,0.995,0.467,0.00291,0.947,1
304,0.00316,0.18,0.882,0.597,1
306,0.767,0.237,0.353,0.894,1
313,0.995,0.628,0.411,0.888,1
331,0.989,0.5479999999999999,0.0555,0.93,1
344,0.993,0.38,0.00921,0.902,1
349,0.984,0.351,0.128,0.877,1
352,0.948,0.13,0.0295,0.914,1
359,0.879,0.198,0.0578,0.128,1
362,0.8140000000000001,0.322,0.175,0.195,1
372,0.989,0.265,0.0479,0.8759999999999999,1
378,0.8490000000000001,0.19,0.0226,4.47e-05,1
383,0.8740000000000001,0.1989999999999999,0.0852,0.0219,1
387,0.993,0.336,0.0143,0.921,1
388,0.0368,0.517,0.623,5.06e-06,1
393,0.893,0.652,0.358,0.0417,1
394,0.0032,0.47,0.8109999999999999,0.0758,1
395,0.985,0.3339999999999999,0.0431,0.946,1
417,0.995,0.395,0.0274,0.897,1
418,0.996,0.41,0.00936,0.927,1
419,0.982,0.0782,0.0331,0.965,1
422,0.98,0.143,0.0491,0.932,1
426,0.000136,0.457,0.965,0.00579,1
430,0.469,0.578,0.544,0.0012,1
434,0.991,0.286,0.109,0.907,1
441,0.988,0.26,0.318,0.927,1
442,0.000125,0.252,0.903,0.497,1
444,0.914,0.193,0.00327,0.0901,1
450,0.722,0.186,0.1989999999999999,0.583,1
455,0.3989999999999999,0.291,0.38,0.00292,1
456,0.792,0.447,0.209,0.804,1
457,0.944,0.165,0.0934,0.8909999999999999,1
465,0.92,0.483,0.0724,0.895,1
466,0.977,0.0631,0.00256,0.84,1
472,0.843,0.228,0.481,0.907,1
473,0.856,0.261,0.387,0.2289999999999999,1
474,0.8440000000000001,0.241,0.367,0.00279,1
476,0.944,0.16,0.353,0.902,1
478,0.746,0.625,0.483,0.000441,1
481,0.8009999999999999,0.601,0.418,4.36e-05,1
483,0.536,0.4,0.371,0.918,1
487,0.981,0.141,0.0609,0.518,1
494,0.551,0.345,0.282,0.000118,1
499,0.904,0.489,0.307,0.631,1
503,0.995,0.44,0.00506,0.933,1
509,0.971,0.2769999999999999,0.0566,0.652,1
510,0.879,0.196,0.0673,0.34,1
512,0.975,0.397,0.0761,0.916,1
515,0.000154,0.37,0.91,0.173,1
517,0.981,0.221,0.124,2.06e-06,1
520,0.973,0.24,0.0482,0.2789999999999999,1
521,0.623,0.417,0.1939999999999999,0.923,1
528,0.984,0.422,0.11,0.8440000000000001,1
529,0.99,0.122,0.0365,0.00171,1
530,0.994,0.175,0.0825,0.923,1
531,0.936,0.092,0.0239,0.902,1
532,0.964,0.155,0.163,0.0166,1
539,0.00154,0.574,0.596,0.649,1
540,0.192,0.265,0.6409999999999999,0.952,1
541,0.994,0.518,0.0403,0.9,1
545,0.989,0.283,0.231,0.863,1
549,8.8e-05,0.195,0.959,0.0294,1
556,0.983,0.406,0.204,0.812,1
558,0.954,0.0618,0.0555,0.928,1
559,0.00294,0.4379999999999999,0.975,0.0632,1
562,0.000367,0.353,0.833,0.00704,1
563,0.6970000000000001,0.335,0.372,5.36e-05,1
567,0.961,0.145,0.00849,0.00278,1
573,0.983,0.161,0.125,0.923,1
576,0.147,0.309,0.579,0.0048,1
582,0.959,0.4429999999999999,0.27,0.962,1
586,0.994,0.3339999999999999,0.0141,0.913,1
587,0.157,0.455,0.765,0.212,1
591,0.973,0.141,0.211,0.978,1
595,0.923,0.401,0.176,0.495,1
598,0.974,0.212,0.0119,0.737,1
604,0.987,0.173,0.0359,0.00682,1
607,0.000305,0.284,0.933,0.861,1
610,0.99,0.301,0.11,0.91,1
617,0.988,0.203,0.0461,0.857,1
618,0.954,0.267,0.0563,0.764,1
621,0.993,0.555,0.206,0.924,1
624,0.838,0.436,0.335,0.949,1
625,0.971,0.331,0.0969,0.903,1
628,2.03e-05,0.465,0.989,6.4e-05,1
629,0.992,0.326,0.0239,0.362,1
631,0.679,0.528,0.6970000000000001,0.841,1
640,0.0117,0.584,0.479,0.00501,1
645,2.36e-06,0.417,0.902,0.0151,1
647,0.992,0.535,0.0557,0.939,1
648,0.991,0.56,0.00767,0.915,1
652,0.994,0.472,0.0306,0.901,1
655,2.79e-05,0.376,0.926,0.846,1
658,0.000241,0.529,0.851,0.000256,1
660,0.926,0.1939999999999999,0.1369999999999999,0.2269999999999999,1
668,0.953,0.437,0.107,0.916,1
671,0.992,0.28,0.0135,0.916,1
675,0.936,0.126,0.0585,0.929,1
676,0.932,0.217,0.104,0.909,1
685,0.972,0.498,0.034,0.475,1
690,0.792,0.155,0.00303,0.7759999999999999,1
703,0.963,0.411,0.132,0.0033799999999999,1
705,3.3e-05,0.475,0.994,0.0038,1
708,0.959,0.465,0.0983,0.958,1
709,0.995,0.355,0.0762,0.8590000000000001,1
713,0.931,0.1939999999999999,0.1009999999999999,0.7140000000000001,1
719,0.6459999999999999,0.297,0.119,0.858,1
736,0.0038799999999999,0.457,0.645,0.0,1
737,6.46e-06,0.434,0.975,0.0116,1
738,0.843,0.165,0.0011,0.0919,1
755,0.944,0.1939999999999999,0.21,0.00494,1
756,0.989,0.311,0.158,0.888,1
758,0.988,0.211,0.0397,0.8290000000000001,1
765,0.757,0.168,0.177,0.8809999999999999,1
768,0.8190000000000001,0.148,0.118,0.731,1
770,0.000572,0.39,0.825,0.00236,1
774,0.982,0.3879999999999999,0.0762,6.929999999999999e-05,1
775,0.946,0.397,0.133,0.17,1
776,0.989,0.5770000000000001,0.163,0.8909999999999999,1
777,0.988,0.288,0.0948,0.879,1
779,0.979,0.3389999999999999,0.123,0.55,1
781,7.290000000000001e-05,0.372,0.917,0.00536,1
782,3.18e-05,0.242,0.92,0.0126,1
784,0.987,0.173,0.0446,0.00196,1
785,0.792,0.183,0.0563,0.00193,1
787,0.985,0.241,0.0912,0.185,1
788,0.927,0.591,0.177,0.000331,1
789,2.65e-05,0.487,0.978,0.000513,1
792,0.99,0.238,0.0535,0.909,1
793,0.959,0.342,0.218,0.00702,1
795,0.969,0.4039999999999999,0.1639999999999999,0.882,1
800,0.856,0.115,0.0599,0.932,1
802,0.00915,0.584,0.652,0.852,1
810,0.0245,0.347,0.948,6.6e-05,1
811,0.994,0.455,0.0202,0.916,1
816,0.98,0.456,0.12,0.937,1
818,0.994,0.629,0.0914,0.947,1
822,0.302,0.286,0.546,0.262,1
825,0.618,0.7559999999999999,0.491,1.18e-05,1
833,0.949,0.149,0.0312,0.639,1
835,6.06e-05,0.409,0.978,0.109,1
836,0.525,0.47,0.435,0.784,1
838,0.992,0.299,0.0517,0.947,1
841,0.7,0.161,0.145,0.838,1
842,0.942,0.314,0.352,0.858,1
843,0.994,0.435,0.0293,0.915,1
845,0.00109,0.457,0.6970000000000001,0.907,1
859,0.992,0.196,0.0323,0.0033,1
862,0.888,0.242,0.195,0.619,1
869,0.959,0.391,0.174,0.0,1
873,4.51e-05,0.483,0.936,0.0,1
875,0.711,0.507,0.153,0.882,1
877,0.0001189999999999,0.296,0.978,0.0012,1
878,0.994,0.292,0.00758,0.928,1
881,0.937,0.33,0.212,0.917,1
885,0.866,0.517,0.273,0.774,1
886,0.944,0.0724,0.00997,0.604,1
887,0.994,0.225,0.0128,0.89,1
890,0.963,0.119,0.052,0.861,1
904,0.947,0.259,0.1889999999999999,0.947,1
907,0.77,0.178,0.264,0.6940000000000001,1
909,0.96,0.296,0.036,0.5429999999999999,1
910,0.992,0.3879999999999999,0.275,0.852,1
912,0.000553,0.3,0.884,0.0,1
919,0.991,0.523,0.268,0.8909999999999999,1
922,0.935,0.237,0.146,0.1969999999999999,1
944,0.76,0.1689999999999999,0.158,0.93,1
946,0.693,0.516,0.385,0.872,1
947,0.952,0.492,0.0126,0.294,1
950,0.878,0.1669999999999999,0.0406,0.769,1
953,0.969,0.618,0.172,0.0321,1
955,0.992,0.528,0.2319999999999999,0.95,1
959,0.99,0.297,0.0281,0.877,1
960,0.000991,0.309,0.905,0.0394,1
968,0.0294,0.363,0.77,0.0002299999999999,1
970,0.208,0.366,0.401,0.846,1
971,0.928,0.128,0.0116,0.145,1
978,0.644,0.0752,0.046,0.53,1
983,0.7859999999999999,0.309,0.178,0.000731,1
985,4.81e-06,0.3879999999999999,0.975,0.8909999999999999,1
988,0.995,0.47,0.013,0.91,1
993,0.975,0.418,0.0585,0.0028699999999999,1
995,0.884,0.675,0.2,0.843,1
998,0.00237,0.555,0.7140000000000001,0.877,1
1000,1.84e-05,0.295,0.974,0.728,1
1010,0.965,0.134,0.0106,0.915,1
1026,0.973,0.267,0.155,0.5379999999999999,1
1031,2.97e-05,0.433,0.866,0.00476,1
1033,0.946,0.395,0.447,0.924,1
1035,0.00276,0.21,0.937,0.0182,1
1050,0.996,0.268,0.00471,0.861,1
1051,0.993,0.3929999999999999,0.114,0.888,1
1052,0.981,0.142,0.0526,0.969,1
1058,0.989,0.45,0.0827,0.951,1
1059,0.396,0.181,0.308,0.813,1
1060,0.951,0.312,0.0336,0.642,1
1065,0.916,0.0993,0.0763,0.937,1
1067,0.995,0.198,0.0034,0.901,1
1068,0.965,0.491,0.185,4.11e-05,1
1072,0.916,0.22,0.293,0.856,1
1074,0.98,0.135,0.106,0.0276,1
1075,0.956,0.482,0.223,0.0435,1
1077,0.0006,0.447,0.932,0.0833,1
1079,0.961,0.19,0.107,0.848,1
1082,0.034,0.478,0.972,4.42e-05,1
1089,0.994,0.472,0.0827,0.942,1
1091,0.979,0.414,0.245,0.86,1
1094,0.975,0.218,0.0432,0.5579999999999999,1
1098,0.0027,0.518,0.841,0.000296,1
1103,0.00312,0.46,0.961,0.0,1
1106,0.988,0.351,0.173,0.955,1
1109,0.986,0.061,0.207,0.918,1
1112,0.701,0.0616,0.118,0.897,1
1113,0.052,0.467,0.539,0.914,1
1120,0.821,0.0802,0.0991,0.8809999999999999,1
1122,0.994,0.0836,0.0523,0.923,1
1128,0.99,0.157,0.126,0.8220000000000001,1
1132,0.908,0.0728,0.412,0.000429,1
1144,0.983,0.488,0.0799,0.177,1
1146,0.721,0.204,0.275,0.295,1
1153,0.723,0.315,0.264,0.752,1
1157,0.939,0.2339999999999999,0.0358,0.715,1
1160,0.99,0.262,0.0109,0.925,1
1161,0.98,0.5760000000000001,0.221,0.843,1
1163,0.684,0.175,0.192,0.838,1
1169,0.000105,0.275,0.978,0.00798,1
1171,0.983,0.475,0.1,0.935,1
1175,0.986,0.296,0.12,0.916,1
1185,0.963,0.442,0.1159999999999999,0.252,1
1190,0.991,0.406,0.226,0.882,1
1196,0.99,0.574,0.0149,0.851,1
1198,0.967,0.516,0.111,0.0287,1
1199,0.987,0.291,0.108,0.892,1
1202,0.938,0.0672,0.0662,0.903,1
1211,0.932,0.13,0.086,0.912,1
1213,0.639,0.08,0.0579999999999999,0.862,1
1214,0.982,0.591,0.198,0.8690000000000001,1
1217,0.996,0.397,0.0158,0.945,1
1220,0.00135,0.314,0.964,0.000247,1
1224,0.967,0.253,0.126,0.858,1
1228,0.721,0.0769,0.475,0.8809999999999999,1
1234,0.992,0.523,0.136,0.88,1
1237,3.75e-06,0.4639999999999999,0.965,0.0,1
1243,0.8140000000000001,0.289,0.1169999999999999,3.68e-05,1
1246,0.979,0.3,0.123,0.118,1
1248,0.981,0.292,0.113,0.887,1
1253,0.995,0.259,0.0127,0.924,1
1254,0.988,0.175,0.0864,0.915,1
1256,0.989,0.252,0.151,0.909,1
1264,0.0001629999999999,0.451,0.887,8.87e-06,1
1267,0.945,0.472,0.172,0.0,1
1272,0.925,0.263,0.144,0.6920000000000001,1
1273,0.000348,0.124,0.8079999999999999,0.642,1
1275,0.905,0.218,0.228,0.923,1
1276,0.755,0.0775,0.0289,0.325,1
1277,0.911,0.2269999999999999,0.285,2.53e-05,1
1286,0.982,0.145,0.0779,0.916,1
1288,0.922,0.238,0.223,0.000741,1
1292,0.94,0.207,0.2689999999999999,0.907,1
1293,0.918,0.21,0.374,0.000105,1
1297,0.000146,0.482,0.95,0.0335,1
1298,0.974,0.376,0.0829,0.415,1
1306,0.51,0.4039999999999999,0.248,0.83,1
1313,0.000595,0.4629999999999999,0.944,4.3e-06,1
1319,0.983,0.392,0.364,0.7,1
1328,0.7879999999999999,0.263,0.304,0.8109999999999999,1
1329,0.0211,0.4,0.6629999999999999,0.0,1
1330,0.893,0.222,0.292,0.00899,1
1335,0.936,0.296,0.0417,0.782,1
1336,0.963,0.203,0.1,0.8490000000000001,1
1340,0.0007559999999999,0.406,0.944,0.00887,1
1346,0.993,0.207,0.0159,0.833,1
1347,0.994,0.417,0.0174,0.873,1
1349,0.974,0.235,0.248,0.8340000000000001,1
1353,0.96,0.21,0.413,0.804,1
1364,0.991,0.486,0.0528,0.919,1
1367,0.11,0.161,0.882,0.8959999999999999,1
1376,0.8759999999999999,0.155,0.0958,0.8959999999999999,1
1380,0.884,0.104,0.0377,0.514,1
1389,0.871,0.133,0.203,0.89,1
1390,0.996,0.449,0.00631,0.902,1
1392,0.977,0.346,0.142,0.361,1
1398,0.895,0.228,0.228,4.47e-05,1
1401,0.0832,0.325,0.825,0.000137,1
1406,0.885,0.355,0.296,0.589,1
1411,0.993,0.263,0.0733,0.123,1
1413,0.807,0.515,0.3329999999999999,2.28e-06,1
1415,0.953,0.162,0.0518,0.843,1
1422,0.978,0.442,0.22,5.7e-05,1
1423,0.975,0.135,0.0157,0.917,1
1428,0.995,0.419,0.00173,0.95,1
1432,0.949,0.144,0.0307,0.82,1
1437,0.000904,0.445,0.933,7.53e-06,1
1443,0.0457,0.644,0.94,0.0,1
1448,0.987,0.363,0.0534,0.935,1
1451,0.485,0.174,0.292,0.938,1
1457,0.993,0.248,0.134,0.904,1
1459,0.7509999999999999,0.414,0.523,0.305,1
1462,0.897,0.321,0.15,0.846,1
1466,0.934,0.1689999999999999,0.0254,0.674,1
1467,0.74,0.115,0.135,0.887,1
1468,0.962,0.306,0.0413,0.92,1
1474,0.981,0.457,0.0158,0.304,1
1476,0.931,0.103,0.114,0.787,1
1486,0.987,0.422,0.14,0.91,1
1509,0.652,0.568,0.265,0.252,1
1510,0.8959999999999999,0.156,0.154,0.942,1
1518,0.91,0.217,0.0336,3.23e-06,1
1519,0.945,0.114,0.0409999999999999,0.925,1
1523,0.000482,0.4479999999999999,0.934,0.0009,1
1525,0.8320000000000001,0.5329999999999999,0.537,0.0202,1
1526,0.993,0.195,0.0776,0.897,1
1528,0.735,0.153,0.0314,0.0143,1
1532,0.979,0.299,0.122,0.8909999999999999,1
1547,0.945,0.149,0.133,0.347,1
1551,0.99,0.173,0.0165,0.887,1
1555,0.978,0.265,0.114,0.7859999999999999,1
1556,0.99,0.366,0.0146,0.924,1
1560,0.95,0.322,0.427,0.92,1
1561,0.984,0.2689999999999999,0.0344,0.872,1
1565,0.00225,0.239,0.851,0.000131,1
1571,0.000445,0.479,0.907,0.8690000000000001,1
1572,0.6729999999999999,0.637,0.307,0.00238,1
1573,0.995,0.539,0.00825,0.963,1
1579,0.989,0.171,0.0429,0.7190000000000001,1
1582,0.984,0.19,0.131,0.6409999999999999,1
1583,0.835,0.188,0.222,0.943,1
1585,0.0069999999999999,0.226,0.96,0.433,1
1587,0.989,0.3289999999999999,0.0135,0.315,1
1588,0.00433,0.247,0.8859999999999999,0.449,1
1589,0.919,0.252,0.12,2.4e-06,1
1593,0.0185,0.624,0.8109999999999999,0.8140000000000001,1
1597,0.989,0.627,0.19,0.875,1
1598,0.994,0.418,0.106,0.0292,1
1603,0.972,0.091,0.0619,0.912,1
1606,0.913,0.445,0.25,1.12e-06,1
1607,0.981,0.129,0.0465,0.325,1
1619,0.8859999999999999,0.487,0.0552,0.857,1
1620,0.995,0.367,0.00271,0.912,1
1621,0.977,0.0766,0.0289,0.91,1
1623,8.49e-06,0.357,0.944,0.000308,1
1626,0.000306,0.391,0.949,0.0022,1
1629,0.868,0.304,0.212,0.00172,1
1630,0.911,0.0671,0.0777,0.852,1
1632,0.937,0.414,0.32,0.0152,1
1633,0.000323,0.515,0.937,0.000136,1
1634,0.965,0.255,0.0499,0.8109999999999999,1
1637,0.86,0.36,0.461,0.8240000000000001,1
1639,0.00237,0.462,0.888,1.3800000000000002e-05,1
1640,0.0001189999999999,0.396,0.8909999999999999,0.00499,1
1642,0.991,0.356,0.0145,0.922,1
1644,0.952,0.0803,0.00998,0.0812,1
1646,0.94,0.218,0.1169999999999999,0.861,1
1651,0.927,0.16,0.0139999999999999,0.7759999999999999,1
1655,0.969,0.309,0.153,0.000562,1
1658,0.954,0.144,0.00788,0.947,1
1660,0.986,0.1939999999999999,0.0279,0.865,1
1661,0.853,0.105,0.079,0.882,1
1663,0.888,0.508,0.208,0.735,1
1664,0.985,0.249,0.205,0.904,1
1667,0.992,0.596,0.0354,0.899,1
1669,2.88e-06,0.405,0.872,0.91,1
1670,0.621,0.16,0.0669,0.653,1
1673,0.909,0.283,0.133,0.8,1
1674,6.96e-05,0.397,0.782,0.472,1
1684,0.00367,0.273,0.916,1.52e-05,1
1686,0.136,0.431,0.845,0.684,1
1689,0.978,0.19,0.0144,0.193,1
1692,0.948,0.405,0.193,1.6e-05,1
1694,0.977,0.216,0.0174,0.919,1
1697,0.0078,0.342,0.866,7.04e-06,1
1700,0.992,0.286,0.0603,0.907,1
1702,0.978,0.3339999999999999,0.179,0.000331,1
1703,0.954,0.0843,0.123,0.74,1
1705,0.934,0.147,0.1369999999999999,0.927,1
1707,0.994,0.1689999999999999,0.107,0.109,1
1712,0.985,0.29,0.0584,0.935,1
1718,0.8490000000000001,0.373,0.0519,0.6659999999999999,1
1723,0.994,0.45,0.0031,0.934,1
1725,0.993,0.335,0.0737,0.912,1
1727,0.91,0.552,0.218,0.643,1
1728,0.975,0.3229999999999999,0.162,0.0396,1
1730,0.952,0.138,0.154,0.901,1
1731,0.16,0.578,0.861,0.861,1
1732,0.994,0.33,0.0241,0.721,1
1734,0.988,0.161,0.0301,0.809,1
1737,0.2789999999999999,0.594,0.287,0.302,1
1739,0.000314,0.481,0.98,1.85e-05,1
1742,0.977,0.196,0.0171,0.275,1
1748,0.969,0.147,0.0344,0.907,1
1751,0.993,0.441,0.0203,0.862,1
1752,0.995,0.441,0.0329,0.88,1
1762,0.607,0.246,0.215,0.3429999999999999,1
1765,0.944,0.138,0.0384,0.987,1
1768,0.904,0.477,0.341,0.000287,1
1771,0.00663,0.6,0.662,0.902,1
1773,0.0341,0.603,0.715,0.7040000000000001,1
1775,0.716,0.171,0.203,0.873,1
1776,0.0212,0.4479999999999999,0.767,2.57e-05,1
1777,0.984,0.0811,0.0805,0.895,1
1780,0.996,0.483,0.00585,0.925,1
1783,0.909,0.186,0.27,0.911,1
1785,0.653,0.413,0.5589999999999999,2.05e-05,1
1787,0.986,0.176,0.208,0.931,1
1788,0.8590000000000001,0.0666,0.266,0.942,1
1791,0.991,0.436,0.15,0.944,1
1798,0.991,0.154,0.0325,0.5329999999999999,1
1803,0.996,0.409,0.00211,0.941,1
1804,0.956,0.0984,0.288,0.769,1
1807,0.961,0.113,0.0615,0.7440000000000001,1
1809,0.956,0.461,0.00809,0.754,1
1810,0.888,0.37,0.471,0.003,1
1811,0.942,0.384,0.29,0.909,1
1813,0.969,0.113,0.0732,0.772,1
1814,0.97,0.0769,0.0484,0.1159999999999999,1
1818,0.946,0.416,0.2239999999999999,0.955,1
1819,0.000601,0.5489999999999999,0.736,0.0109,1
1823,0.992,0.238,0.0632,0.871,1
1826,0.902,0.0811,0.0122,0.308,1
1833,0.614,0.252,0.643,0.0006929999999999,1
1837,0.995,0.405,0.00996,0.954,1
1839,0.984,0.299,0.0514,0.901,1
1845,0.909,0.222,0.327,0.89,1
1847,0.00206,0.4629999999999999,0.985,0.0463,1
1849,0.966,0.198,0.0721,0.00313,1
1855,0.969,0.355,0.372,0.7979999999999999,1
1856,0.995,0.214,0.192,0.000541,1
1858,0.0755,0.536,0.981,2.46e-05,1
1864,0.992,0.373,0.151,0.8640000000000001,1
1873,0.924,0.486,0.502,0.0004379999999999,1
1878,0.984,0.2789999999999999,0.0892,0.948,1
1880,0.939,0.1159999999999999,0.198,0.769,1
1881,0.22,0.58,0.471,1.07e-05,1
1883,0.989,0.263,0.0319,0.899,1
1884,0.988,0.0876,0.0968,0.255,1
1889,0.8490000000000001,0.209,0.11,0.515,1
1890,0.887,0.294,0.149,0.0362,1
1891,3.07e-05,0.223,0.885,0.00105,1
1895,0.96,0.184,0.0402,0.536,1
1899,0.000272,0.45,0.969,0.00218,1
1900,0.0021899999999999,0.371,0.935,0.000538,1
1901,0.922,0.182,0.0229,0.918,1
1903,0.995,0.456,0.0108,0.961,1
1904,0.985,0.3339999999999999,0.35,0.8859999999999999,1
1913,0.972,0.162,0.0577,0.89,1
1914,0.916,0.0981,0.0975,0.933,1
1916,0.995,0.467,0.0194,0.916,1
1917,0.994,0.469,0.0128,0.937,1
1918,0.905,0.113,0.1689999999999999,0.955,1
1920,0.0417,0.479,0.939,3.66e-06,1
1922,0.989,0.0637,0.0655,0.96,1
1923,0.946,0.481,0.3829999999999999,0.7390000000000001,1
1928,0.929,0.35,0.327,0.00891,1
1933,0.994,0.261,0.0788,0.903,1
1942,0.992,0.223,0.0497,0.912,1
1943,0.982,0.218,0.0294,0.975,1
1946,0.973,0.1689999999999999,0.148,0.959,1
1953,0.995,0.423,0.00715,0.916,1
1955,0.174,0.5589999999999999,0.5670000000000001,0.103,1
1956,0.952,0.142,0.15,0.8690000000000001,1
1960,5.98e-05,0.177,0.959,0.00118,1
1961,0.994,0.451,0.0615,0.932,1
1964,0.994,0.527,0.0291,0.917,1
1965,0.947,0.0674,0.0319,0.843,1
1972,0.872,0.486,0.153,0.0745,1
1980,6.81e-06,0.263,0.968,0.000981,1
1982,0.8220000000000001,0.263,0.353,0.606,1
1989,0.000264,0.492,0.985,2.62e-05,1
1994,0.434,0.598,0.64,0.505,1
2002,0.961,0.4029999999999999,0.16,0.0956,1
2005,0.872,0.474,0.193,0.000217,1
2009,0.909,0.124,0.0616,0.123,1
2015,0.956,0.357,0.397,0.884,1
2018,0.982,0.225,0.0393,0.894,1
2019,0.993,0.387,0.1009999999999999,0.863,1
2021,0.0133,0.352,0.895,0.000384,1
2022,0.974,0.294,0.1689999999999999,0.382,1
2032,0.7340000000000001,0.0699,0.306,0.82,1
2037,0.971,0.0961,0.0345,0.959,1
2039,0.937,0.211,0.3,0.418,1
2040,0.00107,0.258,0.949,0.032,1
2043,0.588,0.168,0.213,0.937,1
2045,0.992,0.429,0.00356,0.956,1
2046,0.982,0.0983,0.022,0.8909999999999999,1
2049,0.925,0.1989999999999999,0.236,0.7709999999999999,1
2050,0.956,0.16,0.243,0.937,1
2060,0.963,0.175,0.371,1.38e-06,1
2062,0.863,0.06,0.118,0.915,1
2073,0.963,0.168,0.108,0.000249,1
2074,0.8290000000000001,0.218,0.244,0.93,1
2075,2.28e-05,0.308,0.965,0.0648,1
2076,0.991,0.362,0.0617,0.916,1
2081,0.958,0.509,0.337,0.5539999999999999,1
2082,0.894,0.508,0.126,0.867,1
2083,0.00114,0.237,0.946,0.0,1
2089,0.8859999999999999,0.0942,0.369,0.906,1
2092,0.0002839999999999,0.479,0.858,0.0001139999999999,1
2093,0.972,0.154,0.0118,0.847,1
2094,0.994,0.4,0.0399,0.923,1
2102,3.94e-05,0.261,0.927,0.173,1
